JobID|JobIDRaw|JobName|Partition|State|Timelimit|ReqTRES|Constraints|SubmitLine
1556921|1556921|ccf15k-audit|ALL|FAILED|01:30:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-audit --partition=ALL --time=01:30:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/audit-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/audit-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/gate.sh
1556923|1556923|ccf15k-audit|ALL|COMPLETED|01:30:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-audit --partition=ALL --time=01:30:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/audit-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/audit-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/gate.sh
1556942|1556942|ccf15k-smoke|ALL|FAILED|00:40:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-smoke --dependency=afterok:1556923 --partition=ALL --time=00:40:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/smoke-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/smoke-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/smoke.sh
1556946|1556946|ccf15k-legacy_replay|ALL|COMPLETED|03:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-legacy_replay --dependency=afterok:1556923 --partition=ALL --time=03:00:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/legacy_replay-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/legacy_replay-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/legacy_replay.sh
1556947|1556947|ccf15k-topology6k|ALL|COMPLETED|03:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-topology6k --dependency=afterok:1556923 --partition=ALL --time=03:00:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/topology6k-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/topology6k-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/topology6k.sh
1556948_0|1556979|ccf15k-training|ALL|RUNNING|1-00:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --partition=ALL --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,ARRAY_TASKS,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --array=0-7%2 --job-name=ccf15k-training --time=24:00:00 --dependency=afterok:1556942 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/training.sh
1556948_1|1556980|ccf15k-training|ALL|RUNNING|1-00:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --partition=ALL --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,ARRAY_TASKS,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --array=0-7%2 --job-name=ccf15k-training --time=24:00:00 --dependency=afterok:1556942 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/training.sh
1556948_[2-7%2]|1556948|ccf15k-training|ALL|PENDING|1-00:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --partition=ALL --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,ARRAY_TASKS,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --array=0-7%2 --job-name=ccf15k-training --time=24:00:00 --dependency=afterok:1556942 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/training-%A_%a.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/training.sh
1556949_7|1556949|ccf15k-evaluation|ALL|PENDING|12:00:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --partition=ALL --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,ARRAY_TASKS,TIME_LIMIT,TIME_LIMIT_90,TIME_LIMIT_80,TIME_LIMIT_50 --array=0-7%2 --job-name=ccf15k-evaluation --time=12:00:00 --dependency=aftercorr:1556948 --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/evaluation-%A_%a.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/evaluation-%A_%a.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/evaluation.sh
1556958|1556958|ccf15k-smoke|ALL|COMPLETED|00:40:00|billing=4,cpu=4,gres/gpu=1,mem=36G,node=1||sbatch --parsable --job-name=ccf15k-smoke --partition=ALL --time=00:40:00 --mem=36G --cpus-per-task=4 --gres=gpu:1 --exclude=watgpu1008,watgpu1109,watgpu608,watgpu908 --mail-user=n23zhang@uwaterloo.ca --mail-type=ALL,TIME_LIMIT --output=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/smoke-%j.out --error=/u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/logs/smoke-%j.err /u401/n23zhang/mdlm_data/tree_mdlm_cache/runs/ccf_replication15k_20260921.wmjngfco/smoke.sh
